epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9973,1.33462,2.04367,1.51545,0.99098,0.9903,0.99365,0.62442,1.269,1.2519,1.63675,0.000467346,0.000467346,0.000467346
2,82.7065,0.87315,1.17749,1.16425,0.9762,1,0.98652,0.65409,1.10087,1.01574,1.38153,0.000912538,0.000912538,0.000912538
3,123.701,0.85326,1.05198,1.14237,0.87827,0.84499,0.92339,0.74985,0.77215,1.2834,1.20379,0.00132629,0.00132629,0.00132629
4,164.81,0.75118,0.95624,1.08753,0.9401,0.98979,0.98591,0.72113,0.92,1.0748,1.27878,0.00128753,0.00128753,0.00128753
5,203.94,0.74757,0.87161,1.07277,1,0.99049,0.995,0.82145,0.67114,0.69772,1.06998,0.00124037,0.00124037,0.00124037
6,245.465,0.71933,0.80168,1.06195,0.99747,1,0.995,0.89942,0.50575,0.61922,0.94824,0.00119322,0.00119322,0.00119322
7,285.805,0.64682,0.77851,1.01382,0.98979,0.99099,0.99428,0.89058,0.44299,0.66994,0.91712,0.00114606,0.00114606,0.00114606
8,328.679,0.65096,0.76227,1.02419,0.9992,1,0.995,0.89466,0.48657,0.58674,0.94852,0.0010989,0.0010989,0.0010989
9,373.14,0.64219,0.70647,1.0312,0.98712,0.99099,0.99464,0.87319,0.57287,0.52043,1.07306,0.00105174,0.00105174,0.00105174
10,415.134,0.63291,0.70523,1.02315,0.99107,0.99936,0.995,0.86935,0.53493,0.49008,0.94901,0.00100459,0.00100459,0.00100459
11,457.718,0.62863,0.69415,1.01738,0.99105,0.99795,0.99482,0.91397,0.3758,0.49403,0.9055,0.00095743,0.00095743,0.00095743
12,498.57,0.58209,0.65403,0.99819,0.98224,0.99673,0.99455,0.9181,0.37924,0.46373,0.89487,0.000910273,0.000910273,0.000910273
13,541.791,0.57331,0.66736,1.01137,1,0.99903,0.995,0.92351,0.40367,0.51864,0.91115,0.000863116,0.000863116,0.000863116
14,583,0.56585,0.62661,1.01538,1,0.99981,0.995,0.94501,0.33924,0.47794,0.87924,0.000815959,0.000815959,0.000815959
15,625.835,0.52929,0.62521,0.98626,0.99929,1,0.995,0.91796,0.38285,0.5159,0.9128,0.000768802,0.000768802,0.000768802
16,666.626,0.54603,0.61762,0.98668,0.99844,1,0.995,0.93353,0.37641,0.4254,0.90283,0.000721645,0.000721645,0.000721645
17,708.641,0.51144,0.61169,0.97801,0.99938,1,0.995,0.95092,0.3512,0.39891,0.88852,0.000674488,0.000674488,0.000674488
18,749.513,0.52429,0.58902,0.9791,0.99876,1,0.995,0.93379,0.36769,0.39044,0.90186,0.000627331,0.000627331,0.000627331
19,789.134,0.51585,0.60405,0.97266,0.9992,1,0.995,0.90501,0.40965,0.39495,0.92276,0.000580174,0.000580174,0.000580174
20,831.129,0.51713,0.57536,0.97749,0.99999,1,0.995,0.93571,0.35543,0.37055,0.88481,0.000533017,0.000533017,0.000533017
21,875.224,0.48073,0.65322,1.03819,0.99937,1,0.995,0.96953,0.3379,0.48289,0.87676,0.00048586,0.00048586,0.00048586
22,916.595,0.43267,0.56964,1.01056,0.99938,1,0.995,0.94367,0.32889,0.40239,0.87029,0.000438703,0.000438703,0.000438703
23,957.876,0.43199,0.54134,1.00743,0.99927,1,0.995,0.97771,0.27456,0.39054,0.85604,0.000391546,0.000391546,0.000391546
24,1000.6,0.40319,0.53527,0.9705,0.99923,1,0.995,0.98155,0.25891,0.35634,0.84665,0.000344389,0.000344389,0.000344389
25,1044,0.4058,0.50707,1.0251,0.99897,1,0.995,0.97492,0.25811,0.39382,0.84263,0.000297232,0.000297232,0.000297232
26,1087.07,0.36082,0.4776,0.96122,0.99933,1,0.995,0.98955,0.22551,0.31891,0.82833,0.000250075,0.000250075,0.000250075
27,1127.92,0.36436,0.47195,0.96838,0.99948,1,0.995,0.98814,0.21641,0.3247,0.82898,0.000202918,0.000202918,0.000202918
28,1169.42,0.3496,0.45305,0.96663,0.99899,1,0.995,0.98805,0.19079,0.3114,0.82525,0.000155761,0.000155761,0.000155761
29,1210.66,0.33894,0.45635,0.95453,0.99927,1,0.995,0.98289,0.18548,0.31279,0.8221,0.000108604,0.000108604,0.000108604
30,1252.24,0.33527,0.41972,0.95869,0.99928,1,0.995,0.98957,0.15646,0.27287,0.8139,6.1447e-05,6.1447e-05,6.1447e-05
